voltage applied,current (A),,,current err,mean current,units,final mean,final erro,,1000
-9,0.28366,0.28418,0.28261,0.00065301,0.283483333,u,283.4833333,0.653010124,voltage precision ,0.0001
-8.75,0.28113,0.28194,0.28135,0.000341988,0.281473333,,281.4733333,0.341987654,,
-8.5,0.27736,0.27707,0.27736,0.000136707,0.277263333,,277.2633333,0.136707311,,
-8.25,0.27477,0.27414,0.27427,0.00027158,0.274393333,,274.3933333,0.271579741,,
-8,0.27019,0.26992,0.27088,0.000404228,0.27033,,270.33,0.404227659,,
-7.75,0.26779,0.26554,0.26816,0.001157766,0.267163333,,267.1633333,1.157766048,,
-7.5,0.26334,0.26529,0.26419,0.000798262,0.264273333,,264.2733333,0.798262001,,
-7.25,0.26,0.26081,0.26076,0.000370615,0.260523333,,260.5233333,0.370615104,,
-7,0.25913,0.25947,0.25746,0.00087842,0.258686667,,258.6866667,0.878420299,,
-6.75,0.25188,0.25327,0.25324,0.000648297,0.252796667,,252.7966667,0.648296914,,
-6.5,0.24874,0.24399,0.24996,0.002575349,0.247563333,,247.5633333,2.575348952,,
-6.25,0.244,0.23518,0.21922,0.010255418,0.2328,,232.8,10.25541808,,
-6,0.21402,0.21578,0.21419,0.000792647,0.214663333,,214.6633333,0.792646762,,
-5.75,0.20944,0.21022,0.20882,0.00057279,0.209493333,,209.4933333,0.572790441,,
-5.5,0.204,0.20775,0.21051,0.002667921,0.20742,,207.42,2.667920539,,
-5.25,0.20429,0.20635,0.20449,0.000927554,0.205043333,,205.0433333,0.927553532,,
-5,192.752,193.557,193.355,0.341961336,193.2213333,n,193.2213333,0.341961336,,
-4.75,188.052,186.905,189.414,1.025547767,188.1236667,,188.1236667,1.025547767,,
-4.5,180.43,182.449,182.031,0.87013958,181.6366667,,181.6366667,0.87013958,,
-4.25,191.562,192.006,184.066,3.642812589,189.2113333,,189.2113333,3.642812589,,
-4,177.363,177.934,178.266,0.372927458,177.8543333,,177.8543333,0.372927458,,
-3.75,170.839,171.219,169.892,0.55798626,170.65,,170.65,0.55798626,,
-3.5,166.852,166.742,167.759,0.455709215,167.1176667,,167.1176667,0.455709215,,
-3.25,158.366,156.406,153.062,2.189783145,155.9446667,,155.9446667,2.189783145,,
-3,144.709,144.281,145.313,0.423349606,144.7676667,,144.7676667,0.423349606,,
-2.75,139.246,138.762,139.14,0.207732734,139.0493333,,139.0493333,0.207732734,,
-2.5,128.581,128.044,127.38,0.491219118,128.0016667,,128.0016667,0.491219118,,
-2.25,117.289,116.698,108.731,3.902445586,114.2393333,,114.2393333,3.902445586,,
-2,100.198,97.75,97.917,1.116719103,98.62166667,,98.62166667,1.116719103,,
-1.75,87.558,87.134,87.25,0.17891525,87.314,,87.314,0.17891525,,
-1.5,78.217,77.268,77.526,0.400644758,77.67033333,,77.67033333,0.400644758,,
-1.25,67.947,67.636,68.088,0.188828552,67.89033333,,67.89033333,0.188828552,,
-1,59.852,59.095,59.304,0.319206307,59.417,,59.417,0.319206307,,
-0.75,50.041,50.134,50.069,0.038955815,50.08133333,,50.08133333,0.038955815,,
-0.5,41.615,41.611,41.749,0.064131809,41.65833333,,41.65833333,0.064131809,,
-0.25,33.74,34.167,33.57,0.251139182,33.82566667,,33.82566667,0.251139182,,
0,26.442,26.553,26.512,0.045828182,26.50233333,,26.50233333,0.045828182,,
0.25,20.204,20.312,20.152,0.066639995,20.22266667,,20.22266667,0.066639995,,
0.5,14.712,14.66,14.739,0.032785498,14.70366667,,14.70366667,0.032785498,,
0.75,10.238,10.327,10.72,0.209415589,10.42833333,,10.42833333,0.209415589,,
1,5.8206,5.8014,5.7973,0.010156224,5.806433333,,5.806433333,0.010156224,,
1.25,2.5515,2.5496,2.5521,0.001065624,2.551066667,,2.551066667,0.001065624,,
1.5,0.44788,0.44985,0.44781,0.000945598,0.448513333,,0.448513333,0.000945598,,
1.75,0.42117,0.42263,0.42789,0.002885935,0.423896667,-1,-0.423896667,0.002885935,,
2,0.62296,0.62147,0.62766,0.002637891,0.62403,,-0.62403,0.002637891,,
2.25,0.65112,0.64118,0.6484,0.004194314,0.6469,,-0.6469,0.004194314,,
2.5,0.67029,0.67096,0.67054,0.000276446,0.670596667,,-0.670596667,0.000276446,,
2.75,0.67426,0.66731,0.67019,0.002851156,0.670586667,,-0.670586667,0.002851156,,
3,0.71109,0.71532,0.71664,0.002367319,0.71435,,-0.71435,0.002367319,,
3.5,0.70541,0.69806,0.69425,0.004631825,0.69924,,-0.69924,0.004631825,,
4,0.69681,0.70223,0.69811,0.002310382,0.69905,,-0.69905,0.002310382,,
4.5,0.70514,0.70945,0.7105,0.0023192,0.708363333,,-0.708363333,0.0023192,,
5,0.71814,0.72136,0.71396,0.003029499,0.71782,,-0.71782,0.003029499,,
5.5,0.72227,0.72341,0.71602,0.00324849,0.720566667,,-0.720566667,0.00324849,,
6,0.7154,0.72147,0.72599,0.004338758,0.720953333,,-0.720953333,0.004338758,,
6.5,0.72432,0.72255,0.72554,0.001227527,0.724136667,,-0.724136667,0.001227527,,
7,0.72773,0.72241,0.72381,0.002251636,0.72465,,-0.72465,0.002251636,,
7.5,0.71936,0.7265,0.7262,0.003297393,0.72402,,-0.72402,0.003297393,,
8,0.72391,0.72811,0.7213,0.002805316,0.72444,,-0.72444,0.002805316,,
8.5,0.71557,0.72383,0.72443,0.00404265,0.721276667,,-0.721276667,0.00404265,,
9,0.72487,0.72444,0.7298,0.002431721,0.72637,,-0.72637,0.002431721,,
