voltage applied,current (A),,,current err,mean current,units,final mean,final erro,,1000
-9,157.988,158.362,157.843,0.218647865,158.0643333,u,158.064333333,0.218647865,voltage precision ,0.0001
-8.5,152.399,153.196,154.863,1.026612228,153.486,u,153.486000000,1.026612228,,
-8,148.889,149.073,151.036,0.971644311,149.666,u,149.666000000,0.971644311,,
-7.5,145.108,146.696,145.068,0.758194346,145.624,,145.624000000,0.758194346,,
-7,144.884,144.304,148.998,2.089524986,146.062,,146.062000000,2.089524986,,
-6.5,139.526,139.774,139.854,0.139637626,139.718,,139.718000000,0.139637626,,
-6,135.841,135.383,134.683,0.476180171,135.3023333,,135.302333333,0.476180171,,
-5.5,128.999,128.356,128.469,0.280301029,128.608,,128.608000000,0.280301029,,
-5,121.813,122.827,121.858,0.467758485,122.166,,122.166000000,0.467758485,,
-4.5,113.952,115.386,115.523,0.710490128,114.9536667,,114.953666667,0.710490128,,
-4,107.046,107.398,107.419,0.171099062,107.2876667,,107.287666667,0.171099062,,
-3.5,96.494,96.882,97.176,0.279305488,96.85066667,,96.850666667,0.279305488,,
-3,87.106,87.884,86.75,0.473518274,87.24666667,,87.246666667,0.473518274,,
-2.5,76.886,76.858,76.517,0.167738553,76.75366667,,76.753666667,0.167738553,,
-2,64.866,64.889,64.852,0.015253415,64.869,,64.869000000,0.015253415,,
-1.5,52.072,52.07,52.106,0.016519349,52.08266667,,52.082666667,0.016519349,,
-1,38.089,38.87,38.727,0.339518286,38.562,,38.562000000,0.339518286,,
-0.5,25.487,26.047,26.295,0.337962523,25.943,,25.943000000,0.337962523,,
0,15.8242,15.8431,15.8093,0.013830964,15.82553333,,15.825533333,0.013830964,,
0.5,7.8724,7.7819,7.7511,0.051480935,7.8018,,7.801800000,0.051480935,,
1,1.96756,1.96001,1.93307,0.014803626,1.953546667,,1.953546667,0.014803626,,
1.5,0.30128,0.3014,0.30065,0.000328938,0.30111,,0.301110000,0.000328938,,
2,0.42182,0.42699,0.42203,0.002389203,0.423613333,-1,-0.423613333,0.002389203,,
2.5,0.43188,0.43785,0.43768,0.002775084,0.435803333,,-0.435803333,0.002775084,,
3,0.43824,0.43309,0.43165,0.002828902,0.434326667,,-0.434326667,0.002828902,,
3.5,,,,#DIV/0!,#DIV/0!,,-0.433000000,0.002828902,,
4,0.44172,0.44189,0.44182,6.97615E-05,0.44181,,-0.441810000,0.000069761,,
4.5,,,,#DIV/0!,#DIV/0!,,-0.433000000,0.002828902,,
5,0.44457,0.44404,0.44376,0.00033589,0.444123333,,-0.444123333,0.000335890,,
5.5,,,,#DIV/0!,#DIV/0!,,-0.433000000,0.002828902,,
6,0.44688,0.44663,0.44622,0.00027207,0.446576667,,-0.446576667,0.000272070,,
6.5,,,,#DIV/0!,#DIV/0!,,-0.433000000,0.002828902,,
7,0.44784,0.44256,0.43968,0.003378994,0.44336,,-0.443360000,0.003378994,,
7.5,,,,#DIV/0!,#DIV/0!,,-0.433000000,0.002828902,,
8,0.43854,0.44127,0.44081,0.00119338,0.440206667,,-0.440206667,0.001193380,,
8.5,,,,#DIV/0!,#DIV/0!,,-0.433000000,0.002828902,,
9,0.44769,0.44773,0.44972,0.000947664,0.44838,n,-0.448380000,0.000947664,,
