voltage applied,current (A),,,current err,mean current,units,final mean,final erro,,1000
-9,0.5502,0.55764,0.55868,0.003776324,0.555506667,u,555.5066667,3.776323903,voltage precision ,0.0001
-8.75,0.55172,0.55028,0.5561,0.002474995,0.5527,,552.7,2.474994949,,
-8.5,0.55512,0.55103,0.54359,0.00477287,0.549913333,,549.9133333,4.772870089,,
-8.25,0.5502,0.54354,0.54164,0.003670289,0.545126667,,545.1266667,3.67028912,,
-8,0.53645,0.5429,0.54203,0.002857656,0.54046,,540.46,2.857656382,,
-7.75,0.53133,0.53205,0.52957,0.001041708,0.530983333,,530.9833333,1.041707999,,
-7.5,0.52478,0.52365,0.52414,0.000462673,0.52419,,524.19,0.462673391,,
-7.25,0.52124,0.52087,0.5221,0.000515256,0.521403333,,521.4033333,0.515256139,,
-7,0.5157,0.51496,0.51302,0.001130074,0.51456,,514.56,1.130073744,,
-6.75,0.50677,0.51191,0.50927,0.002098656,0.509316667,,509.3166667,2.098655654,,
-6.5,0.50704,0.50612,0.50631,0.000396569,0.50649,,506.49,0.396568615,,
-6.25,0.49875,0.49805,0.49817,0.00030565,0.498323333,,498.3233333,0.30565049,,
-6,0.48037,0.47891,0.47979,0.000600222,0.47969,,479.69,0.600222181,,
-5.75,0.48217,0.48112,0.47499,0.003166347,0.479426667,,479.4266667,3.166347352,,
-5.5,0.46511,0.46327,0.47091,0.003255682,0.46643,,466.43,3.255682212,,
-5.25,0.4504,0.45397,0.45326,0.001543035,0.452543333,,452.5433333,1.543034528,,
-5,0.44733,0.4494,0.44157,0.003312793,0.4461,,446.1,3.312793383,,
-4.75,0.43385,0.42715,0.43316,0.00300899,0.431386667,,431.3866667,3.008990233,,
-4.5,0.41841,0.4133,0.41602,0.002087598,0.41591,,415.91,2.087598301,,
-4.25,0.39803,0.40415,0.49712,0.045337872,0.4331,,433.1,45.33787159,,
-4,0.38564,0.38533,0.38412,0.000655795,0.38503,,385.03,0.655794683,,
-3.75,0.36856,0.3667,0.36829,0.00082061,0.36785,,367.85,0.82060953,,
-3.5,0.35562,0.35239,0.3545,0.001339129,0.35417,,354.17,1.33912907,,
-3.25,0.3359,0.33615,0.33147,0.002149672,0.334506667,,334.5066667,2.14967181,,
-3,0.31364,0.31197,0.31664,0.00193212,0.314083333,,314.0833333,1.932120309,,
-2.75,0.29963,0.29658,0.29733,0.001297647,0.297846667,,297.8466667,1.297647444,,
-2.5,0.27932,0.27431,0.27489,0.002237593,0.276173333,,276.1733333,2.237592953,,
-2.25,0.25435,0.254,0.25332,0.000427629,0.25389,,253.89,0.427629123,,
-2,0.23202,0.23351,0.22917,0.001800562,0.231566667,,231.5666667,1.800561641,,
-1.75,0.20778,0.20759,0.21111,0.001616423,0.208826667,,208.8266667,1.616422662,,
-1.5,0.18813,0.16742,0.16726,0.009800718,0.17427,,174.27,9.800717661,,
-1.25,0.14782,0.14698,0.14745,0.000343738,0.147416667,,147.4166667,0.343737626,,
-1,0.12622,0.12629,0.12761,0.000639392,0.126706667,,126.7066667,0.639392072,,
-0.75,0.10595,0.10583,0.10569,0.000106249,0.105823333,,105.8233333,0.106249183,,
-0.5,85.165,85.169,85.707,0.254563679,85.347,n,85.347,0.254563679,,
-0.25,67.772,67.046,67.06,0.338988036,67.29266667,,67.29266667,0.338988036,,
0,50.191,50.766,50.973,0.330823551,50.64333333,,50.64333333,0.330823551,,
0.25,35.227,34.926,34.74,0.200656146,34.96433333,,34.96433333,0.200656146,,
0.5,21.677,21.551,21.664,0.05658229,21.63066667,,21.63066667,0.05658229,,
0.75,10.146,10.273,10.152,0.05850546,10.19033333,,10.19033333,0.05850546,,
1,2.5157,2.5113,2.5164,0.002257334,2.514466667,,2.514466667,0.002257334,,
1.25,0.83108,0.83576,0.84145,0.004240223,0.836096667,-1,-0.836096667,0.004240223,,
1.5,1.27283,1.38114,1.37542,0.049764426,1.34313,,-1.34313,0.049764426,,
1.75,1.40466,1.49833,1.40944,0.043074031,1.437476667,,-1.437476667,0.043074031,,
2,1.4338,1.42575,1.41837,0.00630125,1.425973333,,-1.425973333,0.00630125,,
2.25,1.42563,1.43496,1.43451,0.004296068,1.4317,,-1.4317,0.004296068,,
2.5,1.4339,1.43525,1.43251,0.00111864,1.433886667,,-1.433886667,0.00111864,,
2.75,1.44041,1.43066,1.42792,0.005360039,1.432996667,,-1.432996667,0.005360039,,
3,1.43067,1.44056,1.4428,0.005270111,1.43801,,-1.43801,0.005270111,,
3.5,1.44197,1.44516,1.49672,0.025091327,1.461283333,,-1.461283333,0.025091327,,
4,1.60314,1.60557,1.60013,0.002225074,1.602946667,,-1.602946667,0.002225074,,
4.5,1.60109,1.60281,1.61143,0.004523745,1.60511,,-1.60511,0.004523745,,
5,1.6154,1.60873,1.60375,0.004772744,1.609293333,,-1.609293333,0.004772744,,
5.5,1.61249,1.61836,1.6181,0.002707943,1.616316667,,-1.616316667,0.002707943,,
6,1.62084,1.61547,1.62155,0.002714312,1.619286667,,-1.619286667,0.002714312,,
6.5,1.62255,1.61745,1.62911,0.004772598,1.623036667,,-1.623036667,0.004772598,,
7,1.63671,1.61944,1.62499,0.007198872,1.627046667,,-1.627046667,0.007198872,,
7.5,1.6351,1.63177,1.63875,0.002850571,1.635206667,,-1.635206667,0.002850571,,
8,1.6264,1.63425,1.63077,0.003211607,1.630473333,,-1.630473333,0.003211607,,
8.5,1.6648,1.63416,1.64199,0.012997498,1.646983333,,-1.646983333,0.012997498,,
9,1.6327,1.62166,1.62833,0.004539547,1.627563333,,-1.627563333,0.004539547,,
