voltage applied,current (A),,,current err,mean current,units,final mean,final erro,,1000
-9,0.54627,0.55024,0.54619,0.001890614,0.547566667,u,547.5666667,1.890614245,voltage precision ,0.0001
-8.75,0.53632,0.53603,0.5289,0.003431511,0.53375,,533.75,3.431510843,,
-8.5,0.52718,0.5217,0.51841,0.003617356,0.52243,,522.43,3.617356309,,
-8.25,0.52017,0.52081,0.51736,0.001498451,0.519446667,,519.4466667,1.498451052,,
-8,0.51667,0.51457,0.51176,0.002011473,0.514333333,,514.3333333,2.01147265,,
-7.75,0.5215,0.52078,0.52167,0.000385775,0.521316667,,521.3166667,0.385774834,,
-7.5,0.5159,0.52061,0.52219,0.002671758,0.519566667,,519.5666667,2.67175764,,
-7.25,0.5187,0.51878,0.48516,0.015829797,0.507546667,,507.5466667,15.8297975,,
-7,0.51885,0.50967,0.50615,0.005353636,0.511556667,,511.5566667,5.353636355,,
-6.75,0.50083,0.49488,0.49847,0.002446317,0.49806,,498.06,2.44631696,,
-6.5,0.50716,0.50019,0.50566,0.0029954,0.504336667,,504.3366667,2.995400177,,
-6.25,0.46891,0.47428,0.51603,0.02106127,0.486406667,,486.4066667,21.06126988,,
-6,0.51137,0.50987,0.51018,0.000646546,0.510473333,,510.4733333,0.646546381,,
-5.75,0.48867,0.49062,0.49031,0.000855583,0.489866667,,489.8666667,0.855582972,,
-5.5,0.48035,0.4746,0.47556,0.002515026,0.476836667,,476.8366667,2.515025955,,
-5.25,0.46558,0.46254,0.46698,0.001853381,0.465033333,,465.0333333,1.853381294,,
-5,0.45275,0.4529,0.4534,0.000277889,0.453016667,,453.0166667,0.277888867,,
-4.75,0.44827,0.44933,0.45031,0.00083304,0.449303333,,449.3033333,0.833039948,,
-4.5,0.43065,0.43673,0.43831,0.003302161,0.43523,,435.23,3.302160909,,
-4.25,0.42122,0.40403,0.40627,0.007630467,0.410506667,,410.5066667,7.630466711,,
-4,0.37112,0.3714,0.37011,0.000554036,0.370876667,,370.8766667,0.554035699,,
-3.75,0.35582,0.35758,0.35563,0.000877889,0.356343333,,356.3433333,0.877888882,,
-3.5,0.33706,0.33754,0.33663,0.000371693,0.337076667,,337.0766667,0.371692824,,
-3.25,0.32373,0.32385,0.32394,8.60233E-05,0.32384,,323.84,0.086023253,,
-3,0.3081,0.30794,0.30955,0.000724201,0.30853,,308.53,0.724200709,,
-2.75,0.2919,0.29157,0.29176,0.000135236,0.291743333,,291.7433333,0.135236419,,
-2.5,0.27408,0.27422,0.27431,9.46338E-05,0.274203333,,274.2033333,0.094633797,,
-2.25,0.25697,0.25681,0.25611,0.000373452,0.25663,,256.63,0.373452362,,
-2,0.23501,0.2346,0.23869,0.00183904,0.2361,,236.1,1.839039604,,
-1.75,0.21566,0.21527,0.2146,0.000437747,0.215176667,,215.1766667,0.437746756,,
-1.5,191.27,191.2,190.887,0.166519268,191.119,n,191.119,0.166519268,,
-1.25,164.413,167,167.988,1.503211451,166.455,,166.455,1.503211451,,
-1,139.041,139.016,138.896,0.063289458,138.9843333,,138.9843333,0.063289458,,
-0.75,113.984,112.026,112.783,0.806171611,112.931,,112.931,0.806171611,,
-0.5,82.213,83.443,85.437,1.328454072,83.69766667,,83.69766667,1.328454072,,
-0.25,62.32,62.179,63.444,0.566027286,62.64766667,,62.64766667,0.566027286,,
0,40.733,40.723,39.867,0.405899823,40.441,,40.441,0.405899823,,
0.25,20.346,20.35,20.397,0.023156473,20.36433333,,20.36433333,0.023156473,,
0.5,6.079,6.067,6.055,0.009797959,6.067,,6.067,0.009797959,,
0.75,0.41986,0.42088,0.42129,0.000601239,0.420676667,,0.420676667,0.000601239,,
1,0.36207,0.35935,0.35775,0.00178328,0.359723333,-1,-0.359723333,0.00178328,,
1.25,0.38075,0.38003,0.37864,0.00087576,0.379806667,,-0.379806667,0.00087576,,
1.5,0.38816,0.38591,0.38617,0.001004999,0.386746667,,-0.386746667,0.001004999,,
1.75,0.39023,0.39042,0.39275,0.001145785,0.391133333,,-0.391133333,0.001145785,,
2,0.39744,0.3952,0.39518,0.001060692,0.39594,,-0.39594,0.001060692,,
2.25,0.40166,0.40094,0.40019,0.000600167,0.40093,,-0.40093,0.000600167,,
2.5,0.40135,0.40241,0.398,0.001879545,0.400586667,,-0.400586667,0.001879545,,
2.75,0.40229,0.40312,0.40633,0.001742112,0.403913333,,-0.403913333,0.001742112,,
3,0.40923,0.41426,0.40511,0.003741625,0.409533333,,-0.409533333,0.003741625,,
3.5,0.41162,0.40895,0.40814,0.001486809,0.40957,,-0.40957,0.001486809,,
4,0.41625,0.41877,0.41738,0.001030609,0.417466667,,-0.417466667,0.001030609,,
4.5,0.42264,0.42129,0.4196,0.001243659,0.421176667,,-0.421176667,0.001243659,,
5,0.42536,0.42719,0.42665,0.000767724,0.4264,,-0.4264,0.000767724,,
5.5,0.43281,0.42557,0.42648,0.003219983,0.428286667,,-0.428286667,0.003219983,,
6,0.43163,0.43443,0.42881,0.00229436,0.431623333,,-0.431623333,0.00229436,,
6.5,0.42551,0.43246,0.43042,0.002916851,0.429463333,,-0.429463333,0.002916851,,
7,0.43143,0.43217,0.42764,0.001984176,0.430413333,,-0.430413333,0.001984176,,
7.5,0.43163,0.43149,0.43313,0.000742309,0.432083333,,-0.432083333,0.000742309,,
8,0.43371,0.43615,0.438,0.001756898,0.435953333,,-0.435953333,0.001756898,,
8.5,0.43883,0.43807,0.43617,0.00111869,0.43769,,-0.43769,0.00111869,,
9,0.43504,0.43325,0.43214,0.00119472,0.433476667,,-0.433476667,0.00119472,,
