voltage applied,current (A),,,current err,mean current,units,final mean,final erro,,1000
-9,3.5729,3.5877,3.6004,0.011237734,3.587,n,3.587000,0.011238,voltage precision ,0.0001
-8.75,3.53112,3.5444,3.5675,0.015031348,3.547673333,,3.547673,0.015031,,
-8.5,3.4885,3.4508,3.4705,0.015396176,3.469933333,,3.469933,0.015396,,
-8.25,3.5561,3.5646,3.5506,0.005759051,3.5571,,3.557100,0.005759,,
-8,3.4604,3.4631,3.4561,0.002882514,3.459866667,,3.459867,0.002883,,
-7.75,3.5655,3.5048,3.5587,0.02715376,3.543,,3.543000,0.027154,,
-7.5,3.5223,3.5126,3.4191,0.046531447,3.484666667,,3.484667,0.046531,,
-7.25,3.4967,3.4144,3.3977,0.043273266,3.436266667,,3.436267,0.043273,,
-7,3.4032,3.4274,4.5,0.511427918,3.776866667,,3.776867,0.511428,,
-6.75,3.3745,3.3378,3.4109,0.029843034,3.3744,,3.374400,0.029843,,
-6.5,3.3768,3.4257,3.3638,0.02664962,3.388766667,,3.388767,0.026650,,
-6.25,3.4097,3.4201,3.4236,0.005903107,3.4178,,3.417800,0.005903,,
-6,3.2816,2.3108,3.3571,0.476433111,2.983166667,,2.983167,0.476433,,
-5.75,3.3326,3.7558,3.7367,0.195152322,3.608366667,,3.608367,0.195152,,
-5.5,3.6444,3.6522,3.6637,0.007927309,3.653433333,,3.653433,0.007927,,
-5.25,3.6132,3.61,3.6044,0.003636848,3.6092,,3.609200,0.003637,,
-5,3.488,3.4664,3.5245,0.023977814,3.492966667,,3.492967,0.023978,,
-4.75,3.4256,3.5234,3.3255,0.080794155,3.424833333,,3.424833,0.080794,,
-4.5,3.2164,3.2033,2.2198,0.466744686,2.879833333,,2.879833,0.466745,,
-4.25,3.1649,3.128,3.1557,0.015682758,3.149533333,,3.149533,0.015683,,
-4,3.0577,3.091,3.0954,0.01683099,3.081366667,,3.081367,0.016831,,
-3.75,3.0155,3.0012,3.9946,0.46495936,3.3371,,3.337100,0.464959,,
-3.5,2.8516,2.9155,2.8555,0.02924688,2.8742,,2.874200,0.029247,,
-3.25,2.746,2.7361,2.8088,0.032192373,2.763633333,,2.763633,0.032192,,
-3,2.6617,2.6694,2.6777,0.006533503,2.6696,,2.669600,0.006534,,
-2.75,2.5226,2.5189,2.549,0.01340257,2.530166667,,2.530167,0.013403,,
-2.5,2.3512,2.3221,3.3315,0.469127235,2.668266667,,2.668267,0.469127,,
-2.25,2.1479,2.1187,2.145,0.013134941,2.1372,,2.137200,0.013135,,
-2,1.80744,1.82745,1.82618,0.009148167,1.820356667,,1.820357,0.009148,,
-1.75,1.44972,1.45992,1.45076,0.004582905,1.453466667,,1.453467,0.004583,,
-1.5,1.069,1.06119,1.07558,0.005881842,1.06859,,1.068590,0.005882,,
-1.25,0.69923,0.70188,0.71432,0.006578451,0.705143333,,0.705143,0.006578,,
-1,0.38003,0.39225,0.3969,0.007114522,0.389726667,,0.389727,0.007115,,
-0.75,0.16895,0.17336,0.17222,0.001869064,0.17151,,0.171510,0.001869,,
-0.5,0.0516,0.05204,0.05233,0.000300111,0.05199,,0.051990,0.000300,,
-0.25,0.01022,0.01055,0.01057,0.000160485,0.010446667,,0.010447,0.000160,,
0,0.00219,0.00224,0.0022,2.16025E-05,0.00221,,0.002210,0.000022,,
0.25,0.00087,0.0009,0.00085,2.0548E-05,0.000873333,,0.000873,0.000021,,
0.5,0.00051,0.00052,0.00053,8.16497E-06,0.00052,,0.000520,0.000008,,
0.75,0.00024,0.00025,0.00023,8.16497E-06,0.00024,,0.000240,0.000008,,
1,0.00004,0.00007,0.00002,2.0548E-05,4.33333E-05,,0.000043,0.000021,,
1.25,0.00009,0.00007,0.00013,2.49444E-05,9.66667E-05,-1,-0.000097,0.000025,,
1.5,0.00013,0.00021,0.00019,3.39935E-05,0.000176667,,-0.000177,0.000034,,
1.75,0.00021,0.00021,0.00018,1.41421E-05,0.0002,,-0.000200,0.000014,,
2,0.00024,0.00022,0.00019,2.0548E-05,0.000216667,,-0.000217,0.000021,,
2.25,0.00025,0.00024,0.00021,1.69967E-05,0.000233333,,-0.000233,0.000017,,
2.5,0.00024,0.00029,0.00023,2.62467E-05,0.000253333,,-0.000253,0.000026,,
2.75,0.00026,0.00025,0.00023,1.24722E-05,0.000246667,,-0.000247,0.000012,,
3,0.00022,0.00026,0.00021,2.16025E-05,0.00023,,-0.000230,0.000022,,
3.5,0.00027,0.00031,0.00029,1.63299E-05,0.00029,,-0.000290,0.000016,,
4,0.00028,0.00027,0.0003,1.24722E-05,0.000283333,,-0.000283,0.000012,,
4.5,0.00031,0.00028,0.00029,1.24722E-05,0.000293333,,-0.000293,0.000012,,
5,0.00031,0.0003,0.00034,1.69967E-05,0.000316667,,-0.000317,0.000017,,
5.5,0.00033,0.00031,0.00033,9.42809E-06,0.000323333,,-0.000323,0.000009,,
6,0.00031,0.00033,0.00034,1.24722E-05,0.000326667,,-0.000327,0.000012,,
6.5,0.00027,0.00036,0.00034,3.85861E-05,0.000323333,,-0.000323,0.000039,,
7,0.00035,0.00036,0.00033,1.24722E-05,0.000346667,,-0.000347,0.000012,,
7.5,0.00038,0.00035,0.00036,1.24722E-05,0.000363333,,-0.000363,0.000012,,
8,0.00035,0.00032,0.00032,1.41421E-05,0.00033,,-0.000330,0.000014,,
8.5,0.00036,0.00035,0.00039,1.69967E-05,0.000366667,,-0.000367,0.000017,,
9,0.00036,0.00034,0.00037,1.24722E-05,0.000356667,,-0.000357,0.000012,,
