voltage applied,current (A),,,current err,mean current,units,final mean,final erro,,1000
-2.5,0.16213,0.15951,0.16072,0.001070649,0.160786667,u,160.7866667,1.070648817,voltage precision ,0.0001
-2.25,0.1497,0.15217,0.15244,0.001232946,0.151436667,,151.4366667,1.232945885,,
-2,0.13748,0.13721,0.13951,0.001026526,0.138066667,,138.0666667,1.026525964,,
-1.75,0.1248,0.12787,0.12776,0.001421994,0.12681,,126.81,1.421993905,,
-1.5,0.11352,0.11147,0.11231,0.000841441,0.112433333,,112.4333333,0.841440564,,
-1.25,96.814,97.241,97.228,0.198296635,97.09433333,n,97.09433333,0.198296635,,
-1,81.01,80.913,80.588,0.18046791,80.837,,80.837,0.18046791,,
-0.75,65.03,65.971,65.199,0.409610384,65.4,,65.4,0.409610384,,
-0.5,50.723,50.664,50.674,0.02578113,50.687,,50.687,0.02578113,,
-0.25,35.39,35.635,35.493,0.100442355,35.506,,35.506,0.100442355,,
0,22.894,22.093,22.911,0.381665065,22.63266667,,22.63266667,0.381665065,,
0.25,11.573,11.565,11.667,0.046312945,11.60166667,,11.60166667,0.046312945,,
0.5,3.6747,3.7812,3.779,0.049694153,3.744966667,,3.744966667,0.049694153,,
0.75,0.43857,0.42841,0.43109,0.004299333,0.43269,,0.43269,0.004299333,,
1,0.13677,0.13793,0.13581,0.000866769,0.136836667,-1,-0.136836667,0.000866769,,
1.25,0.14829,0.14852,0.14773,0.000331763,0.14818,,-0.14818,0.000331763,,
1.5,0.15016,0.15147,0.15117,0.000560377,0.150933333,,-0.150933333,0.000560377,,
1.75,0.15309,0.15276,0.15181,0.000542607,0.152553333,,-0.152553333,0.000542607,,
2,0.15511,0.15557,0.15333,0.000965954,0.15467,,-0.15467,0.000965954,,
2.25,0.15573,0.1552,0.15523,0.000243082,0.155386667,,-0.155386667,0.000243082,,
2.5,0.15634,0.15644,0.15893,0.001198063,0.157236667,,-0.157236667,0.001198063,,
